event_count,process_create_count,file_create_count,registry_modify_count,network_connect_count,uses_suspicious_process,uses_suspicious_command,has_multiple_behaviors,label
0,0,0,0,0,0,0,0,0
102,93,0,0,4,0,0,1,0
93,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
289,36,0,0,0,0,0,1,0
36,35,0,0,0,0,0,1,0
44,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
283,35,0,0,4,0,0,1,0
34,34,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
354,38,0,13,8,0,0,1,0
176,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
42,37,0,0,0,0,0,1,0
538,39,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
446,34,2,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
81,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
221,34,0,0,0,0,0,1,0
47,34,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
38,34,0,0,0,0,0,1,0
62,34,0,0,0,0,0,1,0
62,34,0,0,0,0,0,1,0
40,35,0,0,0,0,0,1,0
7,0,0,0,7,0,0,0,0
37,37,0,0,0,0,0,0,0
65,37,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
142,38,0,0,0,1,0,1,0
56,34,0,0,0,0,0,1,0
85,37,0,0,1,0,0,1,0
62,34,0,0,0,0,0,1,0
58,37,2,0,7,0,0,1,0
39,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
4,0,0,0,4,0,0,0,0
820,35,32,57,35,0,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
176,33,0,0,0,0,0,1,0
59,35,0,0,0,0,0,1,0
196,34,0,0,0,0,0,1,0
1136,35,1092,0,0,0,0,1,0
36,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
395,33,0,4,0,0,0,1,0
166,35,0,0,0,0,0,1,0
79,36,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
76,36,0,0,0,0,0,1,0
53,34,0,0,0,0,0,1,0
39,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
83,36,0,0,5,0,0,1,0
69,39,0,0,2,0,0,1,0
67,35,0,0,0,0,0,1,0
36,36,0,0,0,0,0,0,0
57,33,2,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
35,33,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
65,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
64,33,1,0,0,0,0,1,0
47,33,0,0,0,0,0,1,0
181,34,0,0,0,0,0,1,0
48,33,0,0,0,0,0,1,0
42,37,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,0,0
50,37,0,1,0,0,0,1,0
61,37,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
10,0,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0
42,35,0,0,0,0,0,1,0
197,34,1,0,0,0,0,1,0
59,34,0,1,0,0,0,1,0
68,33,2,0,0,0,0,1,0
47,38,0,0,2,0,0,1,0
53,37,0,0,0,0,0,1,0
37,36,0,0,0,0,0,1,0
456,34,3,7,0,1,1,1,0
43,36,0,0,0,0,0,1,0
52,33,0,0,0,0,0,1,0
145,33,0,0,0,1,0,1,0
196,34,0,0,1,0,0,1,0
68,40,0,0,0,0,0,1,0
73,35,0,0,0,0,0,1,0
37,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
68,40,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
45,34,0,0,0,0,0,1,0
72,38,0,0,8,0,0,1,0
0,0,0,0,0,0,0,0,0
112,37,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
64,39,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
51,34,0,0,0,0,0,1,0
144,36,1,0,0,1,0,1,0
141,33,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
36,35,0,0,0,0,0,1,0
48,34,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
38,38,0,0,0,0,0,0,0
100,36,1,4,0,0,0,1,0
46,32,0,0,0,0,0,1,0
35,35,0,0,0,0,0,0,0
52,38,0,0,8,0,0,1,0
45,37,0,0,7,0,0,1,0
81,34,0,0,0,0,0,1,0
63,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
59,38,2,0,7,0,0,1,0
54,34,0,0,0,0,0,1,0
49,35,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
53,35,0,0,0,0,0,1,0
37,36,0,0,0,0,0,1,0
293,36,0,0,0,0,0,1,0
65,34,1,0,0,0,0,1,0
37,34,0,0,0,0,0,1,0
85,37,0,0,1,0,0,1,0
41,35,0,0,0,0,0,1,0
49,33,0,0,0,0,0,1,0
53,38,0,0,2,0,0,1,0
43,41,0,0,0,0,0,1,0
7,0,0,0,7,0,0,0,0
227,32,0,0,0,0,0,1,0
39,34,0,0,0,0,0,1,0
35,35,0,0,0,0,0,0,0
42,39,0,0,2,0,0,1,0
1484,35,0,0,0,0,0,1,0
48,33,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
212,34,0,0,0,0,0,1,0
70,34,0,7,0,0,0,1,0
36,35,0,0,0,0,0,1,0
70,34,0,0,0,0,0,1,0
60,36,2,0,0,0,0,1,0
180,34,23,0,0,0,1,1,0
36,35,0,0,0,0,0,1,0
58,39,2,0,0,0,0,1,0
36,36,0,0,0,0,0,0,0
330,34,0,0,2,0,0,1,0
34,34,0,0,0,0,0,0,0
36,34,0,0,0,0,0,1,0
33,33,0,0,0,0,0,0,0
179,35,0,0,0,0,0,1,0
48,34,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
60,38,0,0,0,0,0,1,0
33,33,0,0,0,0,0,0,0
43,33,0,0,0,0,0,1,0
8,0,0,0,8,0,0,0,0
101,34,0,0,0,0,0,1,0
47,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
37,35,0,0,0,0,0,1,0
65,37,4,0,0,0,0,1,0
61,36,0,0,0,0,0,1,0
67,37,0,0,7,0,0,1,0
0,0,0,0,0,0,0,0,0
82,34,0,0,0,0,0,1,0
42,39,1,0,0,0,0,1,0
75,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
39,35,0,0,0,0,0,1,0
49,35,2,0,0,0,0,1,0
36,34,0,0,0,0,0,1,0
37,35,0,0,0,0,0,1,0
197,35,0,0,0,0,0,1,0
63,35,0,0,0,0,0,1,0
49,33,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
49,35,2,0,0,0,0,1,0
92,34,0,0,0,0,0,1,0
3273,40,0,27,5,1,0,1,0
4,0,0,0,4,0,0,0,0
342,35,0,20,2,0,0,1,0
9,0,0,0,9,0,0,0,0
54,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
74,38,0,0,9,0,0,1,0
0,0,0,0,0,0,0,0,0
81,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
40,37,0,0,2,0,0,1,0
516,40,2,8,1,1,0,1,0
191,41,0,0,1,1,0,1,0
35,34,0,0,0,0,0,1,0
51,38,0,0,0,0,0,1,0
163,34,0,0,0,0,0,1,0
197,34,1,0,0,0,0,1,0
392,34,0,0,0,0,0,1,0
128,37,0,0,0,0,0,1,0
55,34,0,0,0,0,0,1,0
62,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
41,35,0,0,0,0,0,1,0
65,34,2,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0
47,34,0,0,0,0,0,1,0
49,35,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
55,37,0,0,2,0,0,1,0
285,34,1,3,0,0,0,1,0
92,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
35,34,0,0,0,0,0,1,0
361,34,0,20,3,0,0,1,0
96,34,4,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
55,38,0,0,0,0,0,1,0
49,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
36,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0
63,39,2,0,10,0,0,1,0
94,32,4,0,0,0,0,1,0
2868,40,8,0,0,0,1,1,0
53,34,0,0,0,0,0,1,0
159,34,0,0,0,0,0,1,0
431,34,0,1,0,0,0,1,0
291,38,0,0,4,0,0,1,0
0,0,0,0,0,0,0,0,0
97,36,0,0,0,0,0,1,0
37,35,0,0,0,0,0,1,0
48,34,2,0,0,0,0,1,0
142,38,0,0,0,1,0,1,0
39850,34,0,0,0,0,0,1,0
81,36,0,0,0,0,0,1,0
129,41,0,0,0,0,0,1,0
53,34,0,0,0,0,0,1,0
62,35,0,0,0,0,0,1,0
64,34,1,0,0,0,1,1,0
278,39,0,0,9,0,0,1,0
175,35,0,0,0,0,0,1,0
68,34,0,0,0,0,0,1,0
37,36,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
58,33,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
51,34,0,0,0,0,0,1,0
33,33,0,0,0,0,0,0,0
37,36,0,0,0,0,0,1,0
3193,34,0,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0
41,40,0,0,0,0,0,1,0
97,35,0,0,0,0,0,1,0
34,33,0,0,0,0,0,1,0
66,37,0,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0
53,34,0,0,0,0,0,1,0
35,35,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
160,34,0,0,0,0,0,1,0
3008,37,8,683,0,0,1,1,0
63,34,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
206,34,0,0,0,0,0,1,0
52,37,0,0,2,0,0,1,0
65,35,0,0,0,0,0,1,0
37,35,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
66,36,1,0,2,0,0,1,0
131,35,0,0,0,0,0,1,0
203,38,0,0,3,0,0,1,0
362,34,0,14,0,0,0,1,0
0,0,0,0,0,0,0,0,0
317,41,3,8,0,1,1,1,0
64,35,0,0,0,0,0,1,0
54,38,0,0,0,0,0,1,0
53,34,0,0,0,0,0,1,0
185,33,1,0,0,0,1,1,0
52,33,0,0,0,0,0,1,0
812,33,0,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0
35,34,0,0,0,0,0,1,0
82,33,0,0,0,1,0,1,0
